wpi,time
30.7,1960Q1
30.8,1960Q2
30.7,1960Q3
30.7,1960Q4
30.8,1961Q1
30.5,1961Q2
30.5,1961Q3
30.6,1961Q4
30.7,1962Q1
30.6,1962Q2
30.7,1962Q3
30.7,1962Q4
30.6,1963Q1
30.5,1963Q2
30.6,1963Q3
30.7,1963Q4
30.7,1964Q1
30.6,1964Q2
30.7,1964Q3
30.7,1964Q4
30.9,1965Q1
31.2,1965Q2
31.4,1965Q3
31.6,1965Q4
32.1,1966Q1
32.2,1966Q2
32.6,1966Q3
32.4,1966Q4
32.3,1967Q1
32.3,1967Q2
32.4,1967Q3
32.5,1967Q4
32.9,1968Q1
33.1,1968Q2
33.3,1968Q3
33.4,1968Q4
33.9,1969Q1
34.4,1969Q2
34.7,1969Q3
35,1969Q4
35.5,1970Q1
35.7,1970Q2
35.9,1970Q3
35.9,1970Q4
36.5,1971Q1
36.9,1971Q2
37.2,1971Q3
37.2,1971Q4
37.9,1972Q1
38.3,1972Q2
38.8,1972Q3
39.2,1972Q4
41.1,1973Q1
43.1,1973Q2
44.9,1973Q3
45.3,1973Q4
48.3,1974Q1
50,1974Q2
53.6,1974Q3
55.4,1974Q4
55.4,1975Q1
56,1975Q2
57.2,1975Q3
57.8,1975Q4
58.1,1976Q1
59,1976Q2
59.7,1976Q3
60.2,1976Q4
61.6,1977Q1
63,1977Q2
63.1,1977Q3
63.9,1977Q4
65.4,1978Q1
67.4,1978Q2
68.4,1978Q3
70,1978Q4
72.5,1979Q1
75.1,1979Q2
77.4,1979Q3
80.2,1979Q4
83.9,1980Q1
85.6,1980Q2
88.4,1980Q3
90.4,1980Q4
93.1,1981Q1
95.2,1981Q2
95.9,1981Q3
95.8,1981Q4
96.6,1982Q1
96.7,1982Q2
97.1,1982Q3
97.2,1982Q4
97.3,1983Q1
97.6,1983Q2
98.6,1983Q3
99.1,1983Q4
100.2,1984Q1
100.8,1984Q2
100.6,1984Q3
100.3,1984Q4
100.1,1985Q1
100.2,1985Q2
99.5,1985Q3
100.1,1985Q4
98.6,1986Q1
96.8,1986Q2
96.3,1986Q3
96.7,1986Q4
97.8,1987Q1
99.4,1987Q2
100.5,1987Q3
101,1987Q4
101.6,1988Q1
103.2,1988Q2
104.7,1988Q3
105.2,1988Q4
107.5,1989Q1
109.4,1989Q2
109,1989Q3
109.4,1989Q4
111,1990Q1
110.8,1990Q2
112.8,1990Q3
116.2,1990Q4
